IPTG_uM,binding_energy,date,fold_change,operator,rbs,repressors,username
0.0,-13.9,20161020,0.00866857730240547,O2,RBS1027,130,gchure
0.1,-13.9,20161020,0.022569608702642494,O2,RBS1027,130,gchure
5.0,-13.9,20161020,0.023767648535892496,O2,RBS1027,130,gchure
10.0,-13.9,20161020,0.08478604585413631,O2,RBS1027,130,gchure
25.0,-13.9,20161020,0.1433349240400732,O2,RBS1027,130,gchure
50.0,-13.9,20161020,0.39392672426507125,O2,RBS1027,130,gchure
75.0,-13.9,20161020,0.5479802868593131,O2,RBS1027,130,gchure
100.0,-13.9,20161020,0.7074604207537171,O2,RBS1027,130,gchure
250.0,-13.9,20161020,0.7714158529541435,O2,RBS1027,130,gchure
500.0,-13.9,20161020,1.0202372992357476,O2,RBS1027,130,gchure
1000.0,-13.9,20161020,0.8864519390876308,O2,RBS1027,130,gchure
5000.0,-13.9,20161020,0.8334682016910403,O2,RBS1027,130,gchure
