IPTG_uM,binding_energy,date,fold_change,operator,rbs,repressors,username
0.0,-15.3,20161211,0.0038143693670961427,O1,RBS1027,130,gchure
0.1,-15.3,20161211,0.0182082993152808,O1,RBS1027,130,gchure
5.0,-15.3,20161211,0.017489567407561985,O1,RBS1027,130,gchure
10.0,-15.3,20161211,0.017133220926147563,O1,RBS1027,130,gchure
25.0,-15.3,20161211,0.10652039272888934,O1,RBS1027,130,gchure
50.0,-15.3,20161211,0.2372272504202143,O1,RBS1027,130,gchure
75.0,-15.3,20161211,0.20333555807853057,O1,RBS1027,130,gchure
100.0,-15.3,20161211,0.32323743446535663,O1,RBS1027,130,gchure
250.0,-15.3,20161211,0.5341480647788733,O1,RBS1027,130,gchure
1000.0,-15.3,20161211,0.6957278801330071,O1,RBS1027,130,gchure
5000.0,-15.3,20161211,0.7592443652201979,O1,RBS1027,130,gchure
