IPTG_uM,binding_energy,date,fold_change,operator,rbs,repressors,username
0.0,-17,20170106,-0.01938307192537283,Oid,RBS1147,30,gchure
0.1,-17,20170106,0.0023925537715692854,Oid,RBS1147,30,gchure
5.0,-17,20170106,0.0009954673753688787,Oid,RBS1147,30,gchure
10.0,-17,20170106,0.009217906781521583,Oid,RBS1147,30,gchure
25.0,-17,20170106,0.01313898648307567,Oid,RBS1147,30,gchure
50.0,-17,20170106,0.0448956905002351,Oid,RBS1147,30,gchure
75.0,-17,20170106,0.08138922471947989,Oid,RBS1147,30,gchure
100.0,-17,20170106,0.0888212002562024,Oid,RBS1147,30,gchure
250.0,-17,20170106,0.20910626834810286,Oid,RBS1147,30,gchure
500.0,-17,20170106,0.2978156407505143,Oid,RBS1147,30,gchure
1000.0,-17,20170106,0.4670835056339922,Oid,RBS1147,30,gchure
5000.0,-17,20170106,0.44669228620131274,Oid,RBS1147,30,gchure
